subject,story,brain_score
sub-207,shapesphysical,0.8052
sub-207,shapessocial,0.7768
sub-208,shapesphysical,0.7598
sub-208,shapessocial,0.8814
sub-209,shapesphysical,0.7494
sub-209,shapessocial,0.7877
sub-210,shapesphysical,0.7755
sub-210,shapessocial,0.7969
sub-211,shapesphysical,0.7664
sub-211,shapessocial,0.9507
sub-212,shapesphysical,0.7448
sub-212,shapessocial,0.8098
sub-213,shapesphysical,0.9036
sub-213,shapessocial,0.8152
sub-214,shapesphysical,0.8323
sub-214,shapessocial,0.8154
sub-215,shapesphysical,0.8718
sub-215,shapessocial,0.7922
sub-216,shapesphysical,0.8699
sub-216,shapessocial,0.7798
sub-217,shapesphysical,0.7697
sub-217,shapessocial,0.8865
sub-218,shapesphysical,0.7537
sub-218,shapessocial,0.809
sub-219,shapesphysical,0.7232
sub-219,shapessocial,0.8002
sub-220,shapesphysical,0.7945
sub-220,shapessocial,0.8382
sub-221,shapesphysical,0.9361
sub-221,shapessocial,0.9675
sub-222,shapesphysical,0.8389
sub-222,shapessocial,0.8864
sub-223,shapesphysical,0.8049
sub-223,shapessocial,0.8565
sub-224,shapesphysical,0.778
sub-224,shapessocial,0.8817
sub-225,shapesphysical,0.8122
sub-225,shapessocial,0.8953
sub-226,shapesphysical,0.8675
sub-226,shapessocial,0.867
sub-227,shapesphysical,0.7151
sub-227,shapessocial,0.7994
sub-228,shapesphysical,0.7671
sub-228,shapessocial,0.8851
sub-229,shapesphysical,0.7738
sub-229,shapessocial,0.8981
sub-230,shapesphysical,0.9778
sub-230,shapessocial,0.8395
sub-231,shapesphysical,0.7486
sub-231,shapessocial,0.7595
sub-232,shapesphysical,0.819
sub-232,shapessocial,0.8478
sub-233,shapesphysical,0.774
sub-233,shapessocial,0.8353
sub-234,shapesphysical,0.8055
sub-234,shapessocial,0.7702
sub-235,21styear,0.7969
sub-235,shapesphysical,0.7769
sub-235,shapessocial,0.8404
sub-236,shapesphysical,0.7024
sub-236,shapessocial,0.8144
sub-237,shapesphysical,0.739
sub-237,shapessocial,0.8726
sub-238,shapesphysical,0.837
sub-238,shapessocial,0.8486
sub-239,shapesphysical,0.902
sub-239,shapessocial,0.9416
sub-240,shapesphysical,0.8091
sub-240,shapessocial,0.8269
sub-241,shapesphysical,0.7878
sub-241,shapessocial,0.7756
sub-242,shapesphysical,0.8708
sub-242,shapessocial,0.9784
sub-243,shapesphysical,0.88
sub-243,shapessocial,0.8299
sub-244,21styear,0.7879
sub-244,shapesphysical,0.7593
sub-244,shapessocial,0.8186
sub-245,shapesphysical,0.7795
sub-245,shapessocial,0.8722
sub-246,shapesphysical,0.7945
sub-246,shapessocial,0.8104
sub-247,shapesphysical,0.82
sub-247,shapessocial,0.9295
sub-248,shapesphysical,0.7492
sub-248,shapessocial,0.7857
sub-249,21styear,0.8094
sub-249,shapesphysical,0.8802
sub-249,shapessocial,0.7646
sub-250,shapesphysical,0.8774
sub-250,shapessocial,0.9565
sub-251,shapesphysical,0.9581
sub-251,shapessocial,0.8549
sub-252,shapesphysical,0.7901
sub-252,shapessocial,0.8002
sub-253,shapesphysical,0.8577
sub-253,shapessocial,0.9149
sub-254,21styear,0.8255
sub-255,21styear,0.8368
sub-256,21styear,0.7864
sub-257,21styear,0.749
sub-258,21styear,0.8342
sub-267,21styear,0.867
sub-267,black,0.7735
sub-267,bronx,0.8372
sub-267,forgot,0.8962
sub-267,piemanpni,0.7717
sub-268,21styear,0.7617
sub-268,notthefallintact,0.9725
sub-268,notthefalllongscram,0.8542
sub-269,21styear,0.8371
sub-270,21styear,0.7932
sub-271,21styear,0.848
sub-272,black,0.7597
sub-272,bronx,0.8461
sub-272,forgot,0.8555
sub-272,piemanpni,0.8209
sub-273,black,0.7869
sub-273,bronx,0.8138
sub-273,forgot,0.7691
sub-273,piemanpni,0.8356
sub-274,black,0.7917
sub-274,bronx,0.8501
sub-274,forgot,0.9813
sub-274,piemanpni,0.8596
sub-275,black,0.796
sub-275,bronx,0.8181
sub-275,forgot,0.7847
sub-275,piemanpni,0.826
sub-276,black,0.8304
sub-276,bronx,0.8758
sub-276,forgot,0.8326
sub-276,piemanpni,0.8373
sub-277,black,0.8069
sub-277,bronx,0.8506
sub-277,forgot,0.8227
sub-277,piemanpni,0.8194
sub-278,bronx,0.8467
sub-278,piemanpni,0.8543
sub-279,black,0.841
sub-279,bronx,0.8782
sub-279,forgot,0.791
sub-279,piemanpni,0.7932
sub-280,black,0.8066
sub-280,bronx,0.8176
sub-280,forgot,0.814
sub-281,black,0.7954
sub-281,bronx,0.8836
sub-281,forgot,0.81
sub-281,piemanpni,0.8155
sub-282,black,0.8361
sub-282,bronx,0.8174
sub-282,forgot,0.8408
sub-282,piemanpni,0.8451
sub-283,black,0.7881
sub-283,bronx,0.8667
sub-283,forgot,0.7521
sub-283,piemanpni,0.8428
sub-284,black,0.8244
sub-284,bronx,0.812
sub-284,forgot,0.8267
sub-284,piemanpni,0.8542
sub-285,black,0.848
sub-285,bronx,0.8189
sub-285,forgot,0.8221
sub-285,piemanpni,0.8913
sub-289,forgot,0.8292
sub-290,black,0.7875
sub-290,bronx,0.8321
sub-290,forgot,0.8564
sub-290,piemanpni,0.86
sub-291,black,0.8946
sub-291,bronx,0.8525
sub-291,forgot,0.8745
sub-291,piemanpni,0.7937
sub-292,black,0.806
sub-292,bronx,0.8894
sub-292,forgot,0.8783
sub-292,piemanpni,0.9337
sub-293,black,0.8637
sub-293,bronx,0.8022
sub-293,forgot,0.8169
sub-293,piemanpni,0.7861
sub-294,black,0.8076
sub-294,bronx,0.8381
sub-294,forgot,0.8488
sub-294,piemanpni,0.7941
sub-295,black,0.8381
sub-295,bronx,0.8257
sub-295,forgot,0.8622
sub-295,piemanpni,0.8531
sub-296,black,0.777
sub-296,bronx,0.8354
sub-296,forgot,0.8258
sub-296,piemanpni,0.8457
sub-297,black,0.8121
sub-297,bronx,0.8968
sub-297,forgot,0.8787
sub-297,piemanpni,0.8715
sub-298,black,0.8169
sub-298,bronx,0.8108
sub-298,forgot,0.7877
sub-298,piemanpni,0.8552
sub-299,black,0.8636
sub-299,bronx,0.82
sub-299,forgot,0.8127
sub-299,piemanpni,0.8661
sub-300,black,0.8522
sub-300,bronx,0.8336
sub-300,forgot,0.9032
sub-300,piemanpni,0.8831
sub-301,black,0.8391
sub-301,bronx,0.8717
sub-301,forgot,0.8812
sub-301,piemanpni,0.8756
sub-302,black,0.8482
sub-302,bronx,0.8293
sub-302,forgot,0.8272
sub-302,piemanpni,0.851
sub-303,black,0.7738
sub-303,bronx,0.8391
sub-303,forgot,0.895
sub-303,piemanpni,0.844
sub-304,black,0.7737
sub-304,bronx,0.7456
sub-304,forgot,0.8134
sub-304,piemanpni,0.7817
sub-305,black,0.8097
sub-305,bronx,0.829
sub-305,forgot,0.7983
sub-305,piemanpni,0.7942
sub-306,black,0.7952
sub-306,bronx,0.8378
sub-306,forgot,0.856
sub-306,piemanpni,0.8857
sub-307,black,0.8138
sub-307,bronx,0.8962
sub-307,forgot,0.7717
sub-307,piemanpni,0.8339
sub-308,black,0.7907
sub-308,bronx,0.8509
sub-308,forgot,0.8107
sub-308,piemanpni,0.8376
sub-309,black,0.7682
sub-309,bronx,0.7554
sub-309,forgot,0.8317
sub-309,piemanpni,0.8274
sub-310,black,0.8003
sub-310,piemanpni,0.8334
sub-314,black,0.8406
sub-314,forgot,0.8239
sub-314,piemanpni,0.8594
sub-315,black,0.8056
sub-315,bronx,0.8198
sub-315,forgot,0.8478
sub-315,piemanpni,0.8323
sub-316,notthefallintact,0.871
sub-317,notthefallintact,0.8756
sub-318,notthefallintact,0.9641
sub-319,notthefallintact,0.9725
sub-320,notthefallintact,0.909
sub-321,notthefallintact,0.9154
sub-322,notthefallintact,0.9476
sub-323,notthefallintact,0.9627
sub-324,notthefallintact,0.8632
sub-324,notthefallshortscram,0.867
sub-325,notthefallintact,0.9719
sub-325,notthefallshortscram,0.8245
sub-326,notthefallintact,0.7787
sub-326,notthefalllongscram,0.9464
sub-327,notthefallintact,0.8368
sub-327,notthefalllongscram,0.7997
sub-328,notthefallintact,0.9109
sub-328,notthefalllongscram,0.8943
sub-329,notthefallintact,0.9904
sub-329,notthefallshortscram,0.8896
sub-330,notthefallintact,0.9161
sub-330,notthefalllongscram,0.884
sub-331,notthefallintact,0.8665
sub-331,notthefalllongscram,0.8538
sub-332,notthefallintact,0.9609
sub-332,notthefallshortscram,0.8447
sub-333,notthefallintact,0.8858
sub-333,notthefallshortscram,0.8568
sub-334,notthefallintact,0.8778
sub-334,notthefalllongscram,0.8448
sub-335,notthefallintact,0.8882
sub-335,notthefalllongscram,0.8776
sub-336,notthefallintact,0.901
sub-336,notthefallshortscram,0.8607
sub-337,notthefallintact,0.8694
sub-337,notthefalllongscram,0.8627
sub-338,notthefallintact,0.8818
sub-338,notthefallshortscram,0.9013
sub-339,notthefallintact,0.9696
sub-339,notthefallshortscram,0.8863
sub-340,notthefallintact,0.8744
sub-340,notthefalllongscram,0.8375
sub-341,notthefallintact,0.8189
sub-341,notthefalllongscram,0.8557
sub-342,notthefallintact,0.9396
sub-342,notthefallshortscram,0.8755
sub-343,notthefallintact,0.9791
sub-343,notthefallshortscram,0.9762
sub-344,notthefallintact,0.8918
sub-344,notthefalllongscram,0.8797
sub-345,notthefallintact,0.9574
sub-345,notthefallshortscram,0.9051
