subject,story,brain_score
sub-223,shapesphysical,0.8019
sub-223,shapessocial,0.8541
sub-224,shapesphysical,0.7822
sub-224,shapessocial,0.8846
sub-225,shapesphysical,0.8127
sub-225,shapessocial,0.952
sub-226,shapesphysical,0.8644
sub-226,shapessocial,0.8607
sub-227,shapesphysical,0.7095
sub-227,shapessocial,0.7956
sub-228,shapesphysical,0.7699
sub-228,shapessocial,0.887
sub-229,shapesphysical,0.7699
sub-229,shapessocial,0.8955
sub-230,shapesphysical,0.9762
sub-230,shapessocial,0.8382
sub-231,shapesphysical,0.7526
sub-231,shapessocial,0.7637
sub-232,shapesphysical,0.8152
sub-232,shapessocial,0.8284
sub-233,shapesphysical,0.7781
sub-233,shapessocial,0.8371
sub-234,shapesphysical,0.8098
sub-234,shapessocial,0.7636
sub-235,21styear,0.8002
sub-235,shapesphysical,0.7752
sub-235,shapessocial,0.837
sub-236,shapesphysical,0.7089
sub-236,shapessocial,0.8114
sub-237,shapesphysical,0.7276
sub-237,shapessocial,0.8732
sub-238,shapesphysical,0.8367
sub-238,shapessocial,0.8498
sub-239,shapesphysical,0.8993
sub-239,shapessocial,0.9424
sub-240,shapesphysical,0.8119
sub-240,shapessocial,0.8301
sub-241,shapesphysical,0.7798
sub-241,shapessocial,0.7696
sub-242,shapesphysical,0.87
sub-242,shapessocial,0.9764
sub-243,shapesphysical,0.8799
sub-243,shapessocial,0.8263
sub-244,21styear,0.7941
sub-244,shapesphysical,0.7731
sub-244,shapessocial,0.8186
sub-245,shapesphysical,0.7821
sub-245,shapessocial,0.871
sub-246,shapesphysical,0.7956
sub-246,shapessocial,0.808
sub-247,shapesphysical,0.8114
sub-247,shapessocial,0.9321
sub-248,shapesphysical,0.7438
sub-248,shapessocial,0.7922
sub-249,21styear,0.8128
sub-249,shapesphysical,0.8729
sub-249,shapessocial,0.7563
sub-250,shapesphysical,0.8797
sub-250,shapessocial,0.9553
sub-251,shapesphysical,0.8976
sub-251,shapessocial,0.8509
sub-252,shapesphysical,0.7903
sub-252,shapessocial,0.7992
sub-253,shapesphysical,0.8575
sub-253,shapessocial,0.9153
sub-254,21styear,0.8305
sub-255,21styear,0.8433
sub-256,21styear,0.7926
sub-257,21styear,0.7517
sub-258,21styear,0.8327
sub-267,21styear,0.8646
sub-267,black,0.7814
sub-267,bronx,0.8387
sub-267,forgot,0.8956
sub-267,piemanpni,0.7754
sub-268,21styear,0.7664
sub-268,notthefallintact,0.9707
sub-268,notthefalllongscram,0.8605
sub-269,21styear,0.8393
sub-270,21styear,0.8048
sub-271,21styear,0.8511
sub-272,black,0.755
sub-272,bronx,0.8484
sub-272,forgot,0.8631
sub-272,piemanpni,0.8243
sub-273,black,0.7856
sub-273,bronx,0.8232
sub-273,forgot,0.7787
sub-273,piemanpni,0.8336
sub-274,black,0.788
sub-274,bronx,0.8472
sub-274,forgot,0.9805
sub-274,piemanpni,0.8636
sub-275,black,0.7918
sub-275,bronx,0.8315
sub-275,forgot,0.7871
sub-275,piemanpni,0.8223
sub-276,black,0.8333
sub-276,bronx,0.8793
sub-276,forgot,0.8423
sub-276,piemanpni,0.8396
sub-277,black,0.8085
sub-277,bronx,0.8509
sub-277,forgot,0.8332
sub-277,piemanpni,0.8158
sub-278,bronx,0.8446
sub-278,piemanpni,0.8603
sub-279,black,0.8425
sub-279,bronx,0.8737
sub-279,forgot,0.795
sub-279,piemanpni,0.8051
sub-280,black,0.8081
sub-280,bronx,0.8138
sub-280,forgot,0.8148
sub-281,black,0.8033
sub-281,bronx,0.8817
sub-281,forgot,0.8135
sub-281,piemanpni,0.8158
sub-282,black,0.8382
sub-282,bronx,0.8269
sub-282,forgot,0.8442
sub-282,piemanpni,0.8456
sub-283,black,0.7947
sub-283,bronx,0.872
sub-283,forgot,0.7571
sub-283,piemanpni,0.8391
sub-284,black,0.8194
sub-284,bronx,0.8228
sub-284,forgot,0.8309
sub-284,piemanpni,0.8552
sub-285,black,0.8541
sub-285,bronx,0.8201
sub-285,forgot,0.8289
sub-285,piemanpni,0.8941
sub-289,forgot,0.8321
sub-290,black,0.7972
sub-290,bronx,0.8334
sub-290,forgot,0.8624
sub-290,piemanpni,0.8591
sub-291,black,0.8955
sub-291,bronx,0.8553
sub-291,forgot,0.8835
sub-291,piemanpni,0.7971
sub-292,black,0.8116
sub-292,bronx,0.8897
sub-292,forgot,0.8822
sub-292,piemanpni,0.9371
sub-293,black,0.8644
sub-293,bronx,0.808
sub-293,forgot,0.8269
sub-293,piemanpni,0.7881
sub-294,black,0.8039
sub-294,bronx,0.8453
sub-294,forgot,0.8517
sub-294,piemanpni,0.7951
sub-295,black,0.8311
sub-295,bronx,0.8258
sub-295,forgot,0.8724
sub-295,piemanpni,0.8647
sub-296,black,0.7879
sub-296,bronx,0.8338
sub-296,forgot,0.826
sub-296,piemanpni,0.8474
sub-297,black,0.8081
sub-297,bronx,0.895
sub-297,forgot,0.8753
