subject,story,raw_score,sft_score,delta
sub-222,shapesphysical,0.8389,0.8419,0.0030000000000000027
sub-305,forgot,0.7983,0.8013,0.0030000000000000027
sub-327,notthefalllongscram,0.7997,0.8027,0.0030000000000000027
sub-053,tunnel,0.8986,0.9016,0.0030000000000000027
sub-304,forgot,0.8134,0.8163,0.0029000000000000137
sub-276,black,0.8304,0.8333,0.0029000000000000137
sub-344,notthefallintact,0.8918,0.8947,0.0029000000000000137
sub-294,forgot,0.8488,0.8517,0.0029000000000000137
sub-342,notthefallintact,0.9396,0.9425,0.0029000000000000137
sub-034,pieman,0.8775,0.8804,0.0029000000000000137
sub-224,shapessocial,0.8817,0.8846,0.0029000000000000137
sub-289,forgot,0.8292,0.8321,0.0028999999999999027
sub-136,notthefallintact,0.8856,0.8885,0.0028999999999999027
sub-228,shapesphysical,0.7671,0.7699,0.0028000000000000247
sub-285,piemanpni,0.8913,0.8941,0.0028000000000000247
sub-337,notthefallintact,0.8694,0.8722,0.0028000000000000247
sub-240,shapesphysical,0.8091,0.8119,0.0027999999999999137
sub-291,bronx,0.8525,0.8553,0.0027999999999999137
sub-041,tunnel,0.8766,0.8794,0.0027999999999999137
sub-316,notthefallintact,0.871,0.8737,0.0027000000000000357
sub-257,21styear,0.749,0.7517,0.0027000000000000357
sub-020,pieman,0.8542,0.8569,0.0027000000000000357
sub-111,notthefallintact,0.8798,0.8825,0.0026999999999999247
sub-139,notthefallintact,0.8131,0.8158,0.0026999999999999247
sub-082,pieman,0.9482,0.9509,0.0026999999999999247
sub-247,shapessocial,0.9295,0.9321,0.0026000000000000467
sub-318,notthefallintact,0.9641,0.9667,0.0026000000000000467
sub-245,shapesphysical,0.7795,0.7821,0.0026000000000000467
sub-334,notthefalllongscram,0.8448,0.8473,0.0025000000000000577
sub-050,pieman,0.8617,0.8642,0.0024999999999999467
sub-275,forgot,0.7847,0.7871,0.0024000000000000687
sub-321,notthefallintact,0.9154,0.9178,0.0023999999999999577
sub-052,tunnel,0.9616,0.964,0.0023999999999999577
sub-272,bronx,0.8461,0.8484,0.0023000000000000798
sub-250,shapesphysical,0.8774,0.8797,0.0023000000000000798
sub-213,shapessocial,0.8152,0.8175,0.0022999999999999687
sub-276,piemanpni,0.8373,0.8396,0.0022999999999999687
sub-173,merlin,0.7653,0.7676,0.0022999999999999687
